"Flan-t5 Base, Pre-training Eval","Flan-t5 Base, Post-training Eval","Flan-t5 Small, Pre-training Eval","Flan-t5 Small, Post-training Eval","GPT-4, Pre-training Eval"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['2']]","[['5'], ['0'], ['5'], ['5']]"
"[['1'], ['2'], ['1'], ['3']]","[['1'], ['0'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['5'], ['5'], ['5'], ['4']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['5'], ['5'], ['5'], ['5']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['2'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['3']]","[['0'], ['0'], ['5'], ['0']]"
"[['2'], ['2'], ['1'], ['3']]","[['5'], ['5'], ['2'], ['5']]","[['2'], ['5'], ['2'], ['2']]","[['1'], ['2'], ['1'], ['1']]","[['5'], ['0'], ['5'], ['5']]"
"[['1'], ['1'], ['1'], ['1']]","[['1'], ['3'], ['2'], ['2']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['2']]","[['5'], ['5'], ['5'], ['4']]"
"[['3'], ['4'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['3']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['2'], ['2'], ['2']]","[['0'], ['5'], ['0'], ['0']]"
"[['1'], ['2'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['2'], ['1'], ['1'], ['2']]","[['1'], ['3'], ['2'], ['0']]","[['5'], ['5'], ['0'], ['5']]"
"[['1'], ['1'], ['1'], ['3']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['2'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['4'], ['0'], ['0'], ['5']]"
"[['1'], ['1'], ['1'], ['1']]","[['3'], ['3'], ['2'], ['3']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['0'], ['5'], ['5'], ['5']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['2'], ['2']]","[['1'], ['0'], ['1'], ['1']]","[['2'], ['1'], ['1'], ['1']]","[['0'], ['4'], ['0'], ['5']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['2']]","[['0'], ['0'], ['5'], ['5']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['2'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['1'], ['0'], ['1']]","[['5'], ['5'], ['5'], ['5']]"
"[['1'], ['1'], ['1'], ['1']]","[['3'], ['3'], ['2'], ['5']]","[['1'], ['1'], ['1'], ['1']]","[['2'], ['3'], ['1'], ['2']]","[['5'], ['5'], ['5'], ['5']]"
"[['2'], ['2'], ['1'], ['2']]","[['3'], ['3'], ['1'], ['4']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['0'], ['0'], ['5'], ['0']]"
"[['2'], ['2'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['2'], ['2'], ['1'], ['2']]","[['1'], ['2'], ['1'], ['2']]","[['0'], ['0'], ['5'], ['5']]"
"[['1'], ['2'], ['1'], ['2']]","[['2'], ['3'], ['2'], ['3']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['0'], ['5'], ['5'], ['5']]"
"[['2'], ['2'], ['2'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['2'], ['1'], ['1'], ['2']]","[['0'], ['0'], ['0'], ['5']]"
"[['5'], ['5'], ['2'], ['2']]","[['2'], ['2'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['2'], ['1'], ['2']]","[['5'], ['4'], ['0'], ['5']]"
"[['1'], ['1'], ['1'], ['2']]","[['1'], ['4'], ['1'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['2'], ['2'], ['2'], ['1']]","[['5'], ['0'], ['5'], ['4']]"
"[['1'], ['1'], ['1'], ['2']]","[['5'], ['5'], ['2'], ['5']]","[['1'], ['1'], ['1'], ['2']]","[['1'], ['2'], ['1'], ['5']]","[['5'], ['5'], ['5'], ['5']]"
"[['2'], ['2'], ['1'], ['2']]","[['4'], ['3'], ['2'], ['4']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['5'], ['0'], ['5'], ['5']]"
"[['2'], ['2'], ['1'], ['1']]","[['2'], ['2'], ['2'], ['2']]","[['1'], ['1'], ['1'], ['1']]","[['1'], ['1'], ['1'], ['1']]","[['0'], ['0'], ['5'], ['0']]"
"[['3'], ['2'], ['3'], ['2']]","[['1'], ['1'], ['1'], ['5']]","[['2'], ['1'], ['2'], ['2']]","[['2'], ['2'], ['1'], ['2']]","[['5'], ['5'], ['5'], ['5']]"
