Title,Post,Pre-training Results,Post Training Results
Please tell me someone can come back from anaphylactic shock,"15f

My sister intentionally ate something she’s severely allergic to. She’s in a hospital but she resisted getting the EpiPen until she wasn’t conscious. She stopped breathing, someone did CPR. I don’t remember everything my dad said but I googled it and it doesn’t look good. please please tell me there’s a chance she’s going to be okay. My parents booked us plane tickets to go to her and Im scared that’s a bad sign and no one is saying a word right now.",What happened to my migraines?,1) Did you take any medicine? 2) Have you tried a medicine or a cancer if you have no pain or symptoms?
10 year old sister in the hospital,"My little sister is 10. She’s 4’6 and yesterday she was 48 pounds at the hospital. Shes been eating less and less but over the last week when my parents started to try and make her drink nutrition drinks she suddenly stopped having basically everything except water and then when she started refusing that too they took her to the ER. She kept saying she thought people were putting things in her food to make it more unhealthy. She thinks she’s fat, she’s not. She never was. She’s been so bad in the hospital that they’re giving her meds to make her stop fighting them. My dad said she’s not going to come home for a while because her kidneys were injured from what she was doing and her heart rate was 39-42 when she lays down. She’s getting things in an IV now but I don’t understand why they’re not making her eat or giving her a tube in her nose. My aunt had a tube in her nose when she wasn’t eating. I guess what I’m wondering is, first, how bad is this? She’ll get better right? Second, why aren’t they making her eat when she’s been there a whole day? Third, when she comes home will she be normal again, like can she get all the way better since she’s so young?
",What is the cause of elevated LFT’s?,1) Did you get an ultrasound? 2) How did you get your blood tested for? 3) Is it an ax?
Multiple human bites on a 17f year old. Approximately 20 hours ago.,"The age of the person who bit them is a 9 and a half year old female. The 9 year old was throwing and attacking their mother and raging about killing them and the 17 year old tried to restrain her to protect their mom. The 9 year old proceeded to repeatedly bite and scratch at the 17 year old, chomping and shaking as hard as they could. Eventually the child calmed down and the mom took the older child to another room to photograph the injuries and provide comfort to the teen. The teen may have had a tetanus shot in the last 5 years, mom doesn’t remember exactly, but knows they had one. They have been at their wits end with the violent outbursts from the 9 year old, and the child actually just started menstruating this week for the first time, so that could be adding to her behavior problems. I’m concerned about my friend, her teen and the family in general and my friend is so overwhelmed she doesn’t know what she should do. Do these bites look concerning? The after photos are from 20 hours after the incident. I’ll put them in the comments.
",What did I do after having elevated LFT’s?,1) Does this cause a higher fatty acid if you have a low ribia?
I think my husband had a stroke but he won't believe me,"My husband [34M] and I [32F]went on our honeymoon to Japan in the beginning of February a year after we got married. We had a great time, especially my husband who drank 5+ beers every day on vacation mode. Our flight back was on Friday at 7PM so we had dinner at the airport and he had 3 beers before our flight. On the flight he ordered 3 more beers pretty early from takeoff when they serve the meal (1-2 hours from the first 3 drinks). Then, he had a xanax so he could pass out for the rest of the flight which was 12 hours. This was only his second time every taking a xanax and I've never taken it before. I don't know anything about drugs so I wasn't aware of any consequences. We arrived Friday at 5PM eastern time (in the states) and as we wanted to jump back to our time, he took an edible gummy to sleep.

He slept the entire night and entire morning the next day for a couple of days.. almost 20 hours a day and I noticed his speech was very slurred and his behavior seemed as if he was intoxicated when he was awake. A little too goofy and slurring and to be quite frank, annoying. He seemed confused at times too. For example, we had lunch with my brother and he went back to sleep and when I woke him up for dinner, he asked if we were eating with my brother. Another time we went out for lunch and had leftovers. We stopped by Publix to pick up something quickly and when we got back in the car, he asked me what was in the to-go box and couldn't remember where we ate less than an hour ago. I assumed he was sleeping a lot because of the jetlag and perhaps he was just tired, but I was still concerned because unlike him, I was sleeping a bit during the day but up at night so still sleeping only 8-9 hours at most. He also works remotely so he has a very flexible work schedule which allows him to sleep between meetings as work was slow for him when he got back. Whenever I brought up the concern, he would say it was just jetlag and he felt fine.

The following Wednesday, this behavior continued and that day I found out I was 4.5 weeks pregnant. We were having a honeymoon baby which was unplanned as I thought my ovulation date passed. In a normal situation this would have been a joyous moment for us, but when I told him the news after waking him up, he sounded intoxicated as usual and it made me very sad he wasn't fully there when I shared the news. I looked up some google articles and it said if you sleep 20 hours or more you can get sleep drunk which shows symptoms of the mind not fully being awake from sleeping too much and slurred sleep. That sounded like the issue, so I waited for his jetlag to go away.

A week passed and it was the weekend after we returned and that's when I started to get really worried as I was back to normal and he was definitely not as jetlagged, however, his slurring and intoxicated behavior were the same. I asked him if he drank or ate an edible and he denied both and I saw no evidence of it. He also shows these signs as soon as he wakes up, and it gets worse when he gets tired in the evenings. I started to google more things and was shocked to see how dangerous mixing xanax and alcohol was.. I immediately was concerned it was due to the xanax,,, but when I brought the concern up, he would argue and yell that he was fine and ask why I couldn't believe him when he said he was completely normal and felt like himself. However, as an onlooker, I wish I was wrong, but I'm sad he won't believe me that he's not ok. I told him this, and he told me I was just annoyed because I hate when he's drunk and because my hormones are crazy from the pregnancy. I was so hurt by his words I could feel my heart beating like crazy and I cried in a room by myself. I just assumed it was the drug and hoped it would pass out of his system. As I didn't want to fight and be yelled at and be stressed out with my pregnancy, I let it go and said I would give him 1 more week for it to pass his system.

It is now almost 2 weeks in and as I've been even more nervous and anxious because nothing has gotten better... The more I google now, I'm convinced he had a stroke and more stressed because we didn't go to the hospital sooner. My husband barely gets 1000 steps a day as he works at home, he likes to eat out and eat unhealthy (however not overweight as he is 5'10 and only 160lbs), and he likes to drink on a regular base. His sleep schedule is back to normal but he's still slurring, slow, and his eyes are still droopy. I'm wondering the xanax combination with the alcohol did something to prompt a stroke in his sleep which went unnoticed due to his jetlag.

I'm scared the damage is permanent now and this is what the father of my child will be like, permanently intoxicated behavior... I am so stressed and I have conveyed this to my husband but all I get is yelled at.. I feel like he will leave me if I push him further but I care too much about him to let this just go like I did the past two weeks. I've got so desperate I've reached out to his best friend to intervene and talk to him and convince him to go to the hospital. I am unbelievably sad that me caring for him isn't enough for him to try to figure something out and just deny that anything is wrong and that I'm the problem. I even told him me being stressed could affect our baby and him not being logical to even see that this is actually a problem is confirming his mind is not there. I want my husband back.. I want him to be present and actually be with me and enjoy pregnancy and parenthood together.. I don't know what to do..",How do I feel about my migraines?,1) How old are you?
Pregnant and anorexic,"I’m a 19 year old female. I’m 5’6 and I weigh 94 pounds. I’m anorexic, I have been since I was 17. I’m not diagnosed, but it’s obvious. I know. I’ve lost 48 pounds in a year and a half by cutting my calories to 750 a day and walking literally everywhere.

And I’m pregnant. I’m looking at 2 positive tests. I didn’t even know I could get pregnant, I haven’t had a period in 7 months. Please don’t lecture me about safe sex, it’s not what you think. I’m not irresponsible. I didn’t…choose this.

I’m sitting here and my brain is stuck. Is there any way I could have a baby, and that baby will be okay? Is it too late to fix this? Am I pretty much doomed to miscarry? I don’t know what to do, or how to keep this baby safe, or if I even can. I’m scared.",What is a negative sign about my bmi?,1) What is the disease? 2) Did the BP exam go up?
My sister thinks most food is poison,"My sister is 10. I’ve been worried about her getting skinnier and eating weird for a while and at her physical Monday my mom said the doctor is concerned too because she’s 4’6 and she’s 52 pounds and not on her chart anymore. My sister wouldn’t say anything about not eating though and just said she doesn’t like the foods. The doctor prescribed shakes for her to drink and she’s supposed to come back in a week to get checked again but she’s refusing to drink them because she says they have seed oils. She’s pretty much refusing to eat anything that is processed and isn’t “natural”. She’s especially scared the seed oils and food dyes, but also “processed stuff”. She watched a bunch of videos on YouTube I think that scared her. Well my parents are just trying to get anything in her so they’re giving in but I feel like letting her not eat stuff because she thinks it’s “poison” will only make her think that more.

My question is I was hoping someone could explain why seed oils and dyes aren’t poison, and why it’s okay to have them and they won’t hurt you. She says she saw videos of doctors saying it was true but I know it can’t be and it’s definitely not good to only eat things that come out of the ground. Also can someone maybe explain what can happen when you don’t eat enough and you don’t eat seed oils and things. I want to show this to her.

Thank you so much",What was the cause of the increase in LFT’s?,1) How long have you been diagnosed? 2) Your doctor told you that he's not at all on the x-rays?
Severe Reaction to First Dose of Lexapro—Norovirus or Side Effect?,"Male 30 years old, 6Ft 145lbs.

Took 5mg of Lexapro for the first time at 8PM—by midnight, I was nonstop vomiting, had diarrhea all the next day, and had to go to the ER for IV fluids since I couldn’t even keep down water. Doctors blamed it on norovirus, but none of my friends or girlfriend (who ate the same food) got sick.

It’s been 48 hours, and I’m finally feeling better, but I’m terrified to try Lexapro again. Could it have been a reaction, maybe with my GERD meds (rabeprazole, Pepcid)? I struggle with OCD, anxiety, and depression, but after that experience, I’m seriously hesitant. Any docs see patients go through something like this?",How did I get a diagnosis?,1) What was the problem? 2) Have you been diagnosed with any symptoms?
"12 year old - incontinence, sleeping all day, black outs, pain in stomach,feeling sick all day and now these on her feet.","Hi, my daughter has been having a really rough time lately and the GP does not know what to do. I feel like we've just waited and waited for appointments.

10 years of age she started feeling sick, dizzy and needed to lie down all the time. We was seen and told it was anxiety over a bad ankle break while she was at school, she was forced to walk on her ankle for over an hour by first aid.

11 years of age she started wetting herself (never had a problem since potty training)

12 years of age all she is doing is sleeping lying down saying she feels sick she looks incredibly pale and has started blacking out. 3 months ago her whole side of her face swelled up and she complained about a lump in her neck. This was checked out with and ultra sound and we was told she has slight larger lymphnode but it was nothing to worry about.

We have had blood tests done for over 3 years , the only thing that has stuck out was the last one done on January 28th with low iron and signs of and infection , she was given feredet. The next blood test results came back normal. There has been no indication of bladder infection in urine tests either.

The newest is now this with her feet she has dark patches and white patches of skin on her feet. I think the white ones are fat nodules? The dark ones are causing her pain though.

Any help at all is greatly appreciated

Not sure how to add pictures but I'm working on it
",What is the main cause of chronic low bmi?,1) Have you tested any other tests? 2) Maybe there is a reason for that? 3) - Do you have any specific diagnoses? 3) - Are you a thass? 4) - Do you have any hepatisise symptoms? 5) Have you tested any other tests? 6) Do you have any gms? 7) Do you have any gms? 8) How often do you give your gms? 9) Do you have a gms or gms/synthetics?
Long frustrating illness suddenly popping up new symptoms,"Female, 30 years old, 210lb

So almost a month ago I started getting sick with flu like symptoms. Fever, crackling cough, body aches. I became concerned when the fevers were spiking up to 103°F and the next night 104°F and still had consistent fevers over 101°F after 6 days.

I went to my Dr and after discussing that my housemate was just getting over pneumonia he decided to prescribe me antibiotics. Within a day of taking the antibiotics my fevers went away and I started improving. Completed the full 5 day course of antibiotics. About 5 days after my last dose(so about 10 days ago) I felt like I had a relapse with my cough. Just a persistent cough with a little bit of crackling and coughing up mucus, but nothing so I didn't think much of it.

Now today I felt like my tonsils were a swollen so I looked in the back of my throat and they are a little swollen and covered in white spots! I have maybe a tiny bit of pain in my throat but it's very mild and I figured just from the coughing. My throat looks a little irritated but is not bright red or as painful as you'd usually expect with strep. Also no fever. I looked at oral thrush as well and it doesn't really match what I saw? It's definitely which splotches, not an all over film and it is on just my tonsils, nowhere else in my mouth.

I'm going to call my Dr first in the morning and see if I can make an appointment, but I'm a worrier and just wondering if anyone has any idea what this might be or at least some reassurance this is normal?
","In the hospital, I had elevated LFT’s when I went in for an annual physical with no symptoms. The doctor told me to retest again at the end of Dec. I was convinced they would be normal again for this test and am devastated.",1) Is the OT diagnosed with a tumor in the intestine? 2) ALT?
is new onset hearing voices an emergency,"24F, no psych meds (propranolol cetrizine topiramate) i told my therapist but he brushed it off completely and I really don't think he understood what I was trying to say. i can't keep living like this. i don't know what to do. please somebody answer because Google does Not have answers on this but I don't want to go to the ER and lose thousands of dollars I don't have if they won't be able to help either
",What is the systolic factor that caused the high bMI of my fetus?,1) How long have you had your chronic hepatitis and/or migraines?
